text,Reminder System,Reward Programme,Miscellaneous,MisSelling,Channel of Communication,Inappropriate pricing,Transparency of communication,Ineffectual Customer Service,output,Category
 The SMS reminders from CreditCardCo are so vague and cryptic. How am I supposed to remember the due date without clear information#ConfusingMessages,0.473942161,0.001477832,0.009312547,0.004719973,0.023785828,0.000706959,0.001407285,0.484647363,Ineffectual Customer Service,Reminder System
 The credit card rewards program from CreditCardCo is so convoluted that I can't even figure out how to redeem my points. #RewardFrustration,0.00329907,0.76519227,0.043779869,0.011598831,0.002752285,0.003638895,0.003616115,0.16612266,Reward Programme,Reward Programme
 The text message from CreditCardCo notifying me about a fraudulent transaction woke me up in the middle of the night. Respect customers' sleep schedule! #IntrusiveAle,0.015353893,0.007835627,0.025312189,0.011044038,0.165733293,0.013698834,0.019643983,0.741378129,Ineffectual Customer Service,Miscellaneous
" Hey CreditCardCo, integrating payment reminder ales with viual assistant platforms like Siri or Google Assistant would make it convenient for customers to stay informed. #PaymentReminders",0.600264907,0.025903171,0.134722948,0.022479486,0.075657539,0.014682466,0.093893684,0.032395851,Reminder System,Reminder System
 Just discovered that CreditCardCo's so-called 'exclusive offer' for retired pensioners was nothing more than a trap. The hidden fees and high costs are pushing me into financial hardship. #DeceptiveSales #MisSelling,0.000568719,0.001752429,0.008983213,0.959757388,0.000914563,0.026778713,0.000459019,0.000785972,MisSelling,MisSelling
" Credit card fees, such as balance transfer fees or cash advance fees, should be considered before utilizing these services. It's impoant to assess the cost-benefit. #FeeConsideration",0.057815362,0.090655327,0.480854809,0.079812363,0.094002247,0.066664606,0.0876019,0.042593453,Miscellaneous,Miscellaneous
 The notification from CreditCardCo about changes to my credit limit arrived after I had already made a large purchase. Poor timing and lack of consideration! #UntimelyCommunication,0.002476019,0.002516994,0.017576858,0.00340125,0.0052955,0.002198458,0.002623836,0.963911057,Ineffectual Customer Service,Reminder System
" Feeling betrayed by CreditCardCo. They marketed a product specifically for retired pensioners, promising financial security, but it only burdened me with unmanageable debt. #TargetedExploitation #MisSelling",0.000864117,0.001452768,0.003960521,0.816729784,0.000867516,0.121847555,0.000631905,0.053645838,MisSelling,MisSelling
" Hey CreditCardCo, relying solely on snail mail for sending due date reminders is outdated and ineffective. Embrace digital communication options! #SnailMailIssues",0.139805123,0.001833832,0.011414456,0.00134155,0.052876275,0.001392754,0.009962154,0.781373858,Ineffectual Customer Service,Channel of Communication
" I trusted CreditCardCo to have products suitable for retired pensioners, but they took advantage of my vulnerability. The high-cost product they sold me is causing immense financial stress. #PredatoryPractices #MisSelling",0.00084482,0.00092224,0.011297699,0.787006199,0.000513574,0.189922452,0.000413274,0.009079843,MisSelling,MisSelling
